datetime,time,code,price,value,comm,signal
2016-09-28,2016-09-28 23:59:59.999989,000056.sz,12.62,4979852.0,4979.852,BUY
2016-09-28,2016-09-28 23:59:59.999989,000062.sz,24.0,5013600.0,5013.6,BUY
2016-10-12,2016-10-12 23:59:59.999989,000062.sz,25.5,952800.0,1012.35,SELL
2016-10-13,2016-10-13 23:59:59.999989,000062.sz,25.71,960000.0,1028.4,SELL
2016-10-14,2016-10-14 23:59:59.999989,000062.sz,25.53,957600.0,1018.647,SELL
2016-10-17,2016-10-17 23:59:59.999989,000062.sz,25.28,964800.0,1016.2560000000001,SELL
2016-10-19,2016-10-19 23:59:59.999989,000062.sz,25.6,957600.0,1021.44,SELL
2016-10-20,2016-10-20 23:59:59.999989,000062.sz,25.3,220800.0,232.76000000000002,SELL
2016-10-21,2016-10-21 23:59:59.999989,000062.sz,25.2,5087880.0,5087.88,BUY
2016-10-28,2016-10-28 23:59:59.999989,000062.sz,26.55,972720.0,1024.8300000000002,SELL
2016-11-02,2016-11-02 23:59:59.999989,000001.sz,9.14,5168670.0,5168.67,BUY
2016-11-02,2016-11-02 23:59:59.999989,000017.sz,11.46,5142102.0,5142.102,BUY
2016-11-02,2016-11-02 23:59:59.999989,000056.sz,12.87,4979852.0,5078.502,SELL
2016-11-02,2016-11-02 23:59:59.999989,000062.sz,26.17,4115160.0,4273.561000000001,SELL
2016-11-17,2016-11-17 23:59:59.999989,000017.sz,12.12,983268.0000000001,1039.896,SELL
2016-11-23,2016-11-23 23:59:59.999989,000017.sz,12.06,992436.0000000001,1044.3960000000002,SELL
2016-11-28,2016-11-28 23:59:59.999989,000001.sz,9.69,997174.0000000001,1057.179,SELL
2016-11-29,2016-11-29 23:59:59.999989,000001.sz,9.59,997174.0000000001,1046.269,SELL
2016-11-30,2016-11-30 23:59:59.999989,000001.sz,9.65,993518.0000000001,1048.9550000000002,SELL
2016-11-30,2016-11-30 23:59:59.999989,000017.sz,11.33,3166398.0000000005,3130.4790000000003,SELL
2016-11-30,2016-11-30 23:59:59.999989,000056.sz,12.52,5194548.0,5194.548000000001,BUY
2016-12-02,2016-12-02 23:59:59.999989,000001.sz,9.6,995346.0000000001,1045.44,SELL
2016-12-12,2016-12-12 23:59:59.999989,000001.sz,9.65,993518.0000000001,1048.9550000000002,SELL
2016-12-13,2016-12-13 23:59:59.999989,000001.sz,9.48,191940.0,199.08,SELL
2016-12-14,2016-12-14 23:59:59.999989,000001.sz,9.42,5194188.0,5194.188,BUY
2016-12-21,2016-12-21 23:59:59.999989,000001.sz,9.12,1033295.9999999999,1033.2959999999998,BUY
