datetime,毛收益,净收益,现金,总市值
2016-10-20,316253.0000000002,305909.5470000002,15321077.695000002,20320659.695
2016-11-02,98650.0,88591.64600000001,10273543.15,20688314.15
2016-11-02,210511.00000000047,200124.72900000046,10273543.15,20688314.15
2016-11-30,72668.9999999996,62312.12699999961,13432607.428000003,20905785.428000003
2016-12-13,277207.99999999965,266593.45199999964,15723788.953000003,20777270.953
2016-12-28,-189730.00000000154,-204059.10600000154,10445587.917000005,20804572.917000003
2016-12-28,145214.99999999985,134680.68899999984,10445587.917000005,20804572.917000003
2017-01-26,219324.99999999985,208644.72499999986,8528234.768000003,20997038.768000003
2017-02-27,304389.0000000002,293564.4230000002,14087153.285000002,21148085.285000004
2017-03-02,29425.0,18861.425,8826830.800000003,21044654.800000004
2017-03-30,76567.99999999873,55665.56799999873,12359167.72,21304210.72
2017-03-30,195750.0000000001,182922.8940000001,12359167.72,21304210.72
2017-05-25,1990315.0000000002,1968683.1210000003,6533830.4190000035,20920477.419
2017-06-01,-274574.9999999994,-284593.0649999994,5202527.690000004,20363756.690000005
2017-06-13,-20025.999999999993,-22105.16999999999,1028603.8490000041,22501978.849000003
2017-06-23,6610.999999999965,4559.786999999966,1028058.5360000042,22383948.536000006
2017-08-24,-2219628.9999999953,-2266112.728999995,21014244.063000005,21014244.063000005
2017-09-07,431283.9999999999,420350.57199999987,16179548.839000002,21616610.839
2017-09-21,-98628.00000000089,-126779.52000000089,15984137.908000002,21544714.908
2017-09-22,273008.0000000001,262235.40000000014,10852249.421000002,21552298.421000004
2017-12-21,-403207.99999999965,-417651.75999999966,3776348.0630000033,18918728.063000005
2018-02-01,-4329630.000000001,-4367561.822000001,16784836.933000002,16784836.933000002
2018-03-07,385587.9999999997,375196.8539999997,10548794.152,17993210.152000003
2018-03-20,735140.9999999999,721196.5889999999,14305124.881000001,17877845.881
2018-03-23,-97318.00000000058,-106114.05000000058,9067003.951,17153401.950999998
2018-04-24,-774765.0000000019,-793287.8970000019,7951916.538,16596324.537999999
2018-05-24,91630.00000000224,68599.46000000223,11550114.069999998,16416404.069999998
2018-06-22,-89041.00000000077,-112928.54100000078,11886627.521999998,16995293.522
2018-07-04,210651.99999999974,202357.00799999974,16135196.699999997,17132249.699999996
2018-07-20,-53586.00000000032,-62089.68600000032,7128804.646999997,16580168.646999996
2018-08-10,1635477.0,1616863.971,10139403.960999994,18442425.960999995
2018-08-17,121616.00000000035,112273.68000000034,4691743.260999993,18365755.260999992
2018-09-14,-168084.00000000003,-181019.12400000004,6377219.875999994,19986698.875999995
2018-09-17,-3707.999999999994,-5610.203999999994,7325518.627999994,19974213.627999995
2018-09-28,395387.0000000003,385084.5030000003,11878263.298999993,20328912.298999995
2018-10-22,-20003.000000000324,-45241.89100000032,13767525.534999996,20183025.534999996
2018-10-22,898990.0000000024,873618.0800000024,13767525.534999996,20183025.534999996
2018-11-01,271883.99999999994,265223.5559999999,12285103.190999998,19971058.191
2018-11-19,319624.00000000035,309158.07200000033,6402233.420999998,21060848.420999996
2018-12-28,-2565079.0,-2588046.779,10191235.319999998,17149879.32
2019-01-10,272062.00000000023,263179.1380000002,5245324.571999998,17561914.571999997
2019-02-22,16680.000000000087,14948.616000000087,1814047.7139999976,18695635.713999998
2019-03-18,353353.0000000003,345519.6210000003,16972153.921000004,20126716.921000004
2019-03-20,1743905.0000000028,1707744.5210000027,10049645.845,20221018.845
2019-03-20,78009.99999999972,67821.89399999972,10049645.845,20221018.845
2019-04-18,70888.00000000036,58684.30800000037,5134857.648999999,19957596.649
2019-05-21,-2651131.9999999995,-2676869.8259999994,16701998.039,16701998.039
2019-05-21,-887863.0000000007,-899100.7670000007,16701998.039,16701998.039
2019-06-19,-267524.9999999999,-286985.8249999999,9304001.307000002,15991673.307000002
2019-06-20,2588.0000000000023,2031.5800000000022,8792333.701000001,16066289.701000001
2019-08-07,-825300.0000000003,-832544.3000000004,3206417.778000002,13676037.778
2019-09-04,516541.9999999999,508206.32199999987,4542637.471000002,16682583.471
2019-09-11,-219776.00000000015,-229359.90400000016,16686591.867,16686591.867
2019-09-11,850403.0,823245.955,16686591.867,16686591.867
2019-10-17,226356.00000000023,214535.07600000023,6032136.811,16788751.811
2019-11-14,-409372.0000000007,-427158.0320000007,7858914.4629999995,16468032.463
2019-12-10,257214.0000000003,251455.5560000003,12533199.499,16960929.498999998
2019-12-12,262075.99999999965,250102.25799999965,8473966.769000003,16642797.769000003
2019-12-12,-189097.9999999993,-197358.0499999993,8473966.769000003,16642797.769000003
2020-01-10,207497.99999999988,199057.85399999988,8491152.933000002,17056771.933000002
2020-02-17,645421.9999999995,628496.4159999995,6180662.298000001,17605240.298
2020-03-12,600076.0000000001,589053.9420000002,6852150.371000001,18236110.371
2020-03-16,837726.0000000003,828199.3020000004,13885910.797,18762022.797
2020-03-16,-37025.999999999854,-61518.91599999985,13885910.797,18762022.797
2020-04-14,218255.99999999936,194358.73199999935,19179924.749,19179924.749
2020-04-14,36653.999999999694,24108.743999999693,19179924.749,19179924.749
2020-05-11,337310.0000000002,327384.27400000015,12089462.464000005,18417132.464000005
2020-05-15,-184127.9999999996,-193117.39199999959,3809413.2190000066,18077727.219000008
2020-05-22,-3060338.0000000033,-3090124.5460000033,11425022.835000005,16044152.835000005
2020-06-05,434622.9999999998,426432.70499999984,10234712.412000004,16625126.412000004
2020-06-12,-229347.99999999968,-241937.40799999968,6623917.512000004,16073528.512000004
2020-07-09,632776.0000000002,624169.6360000003,7282365.644000003,17902677.644
2020-07-28,1129074.0000000005,1106701.6900000004,5749730.382000002,17440867.382000003
2020-08-11,-128807.99999999886,-159721.39999999886,15376941.943000004,18158969.943000004
2020-08-12,-196.0000000000008,-248.78000000000083,15403207.651000004,18199639.651000004
2020-09-08,157741.99999999994,148831.30799999993,8949278.990000004,18346978.990000002
2020-10-14,87677.99999999985,78413.35799999986,4658349.370000003,17890536.370000005
2020-11-11,-471093.9999999999,-487060.4179999999,7740074.513000003,17338081.513000004
2021-01-07,-1575543.9999999984,-1600826.3319999983,10971446.211000003,15562774.211000003
2021-02-04,-1187130.999999999,-1210343.2249999992,14710796.471000003,14710796.471000003
2021-02-04,-190066.00000000003,-197681.74800000002,14710796.471000003,14710796.471000003
2021-02-26,516386.9999999998,508577.62299999985,13062627.604000002,15394827.604000002
2021-03-05,253077.9999999999,245476.88199999993,9096633.246,14314971.246
2021-04-09,219002.00000000006,210257.64200000005,15236111.116,16564109.116
2021-04-09,860190.0000000017,836831.0520000018,15236111.116,16564109.116
2021-04-12,42659.999999999935,41345.43999999994,16560747.154000001,16560747.154000001
2021-04-12,8748.000000000073,7462.044000000073,16560747.154000001,16560747.154000001
2021-05-12,161497.99999999953,146571.73799999955,13180014.590000002,16465714.590000002
2021-05-12,-134488.9999999992,-147602.9769999992,13180014.590000002,16465714.590000002
2021-06-09,183069.00000000006,174668.04300000006,2649416.061000001,16948766.061
2021-08-05,848583.9999999999,824753.5019999999,1154034.746000001,15468883.746
2021-08-06,-14.999999999999858,-18.524999999999856,392161.1270000011,15556731.127000004
2021-08-11,18449.99999999997,17648.85999999997,409809.9870000011,17018966.987
2021-08-13,-205.99999999995902,-1021.1419999999591,408788.8450000012,16787961.845
2021-08-18,-3671.999999999994,-4478.207999999994,401988.3170000012,17451924.317
2021-08-20,-9894.000000000031,-10678.73000000003,391309.58700000116,16744009.587000001
2021-08-25,1414.0000000000057,630.8460000000057,391940.4330000012,15659252.433000002
2021-09-07,14539.000000000036,13746.299000000035,403616.6640000012,15205767.664
2021-09-09,-2716.999999999979,-3518.514999999979,400098.14900000126,14921878.149000002
2021-09-13,30869.999999999975,30045.749999999975,428112.8700000013,15714052.870000001
2021-09-15,-18357.000000000022,-19190.239000000023,408922.6310000013,14486942.631
2021-09-17,-8360.000000000044,-9158.380000000045,14083017.301000003,14083017.301000003
2021-09-17,-3459274.9999999995,-3490128.1749999993,14083017.301000003,14083017.301000003
2021-10-08,328725.0000000001,321418.39500000014,11005740.396000002,14547340.396000002
2021-10-11,214699.99999999983,207694.69999999984,7324876.422000001,14614380.422000002
2021-10-27,780791.0,772723.709,11744493.381000003,15492185.381000003
